사용월,호선명,역ID,지하철역,승차승객수,하차승객수,작업일시
2023-03,1호선,0150,서울역,1572966,1511261,2023-04-03 09:45:21
2023-03,1호선,0151,시청,777741,781161,2023-04-03 09:45:21
2023-03,1호선,0152,종각,1149447,1122426,2023-04-03 09:45:21
2023-03,1호선,0153,종로3가,855518,778067,2023-04-03 09:45:21
2023-03,1호선,0154,종로5가,779312,769912,2023-04-03 09:45:21
2023-03,1호선,0155,동대문,367711,358628,2023-04-03 09:45:21
2023-03,1호선,0156,신설동,430145,414139,2023-04-03 09:45:21
2023-03,1호선,0157,제기동,546861,557942,2023-04-03 09:45:21
2023-03,1호선,0158,청량리(서울시립대입구),641351,632679,2023-04-03 09:45:21
2023-03,1호선,0159,동묘앞,322852,335714,2023-04-03 09:45:21
2023-03,2호선,0201,시청,735893,693116,2023-04-03 09:45:21
2023-03,2호선,0202,을지로입구,1367295,1397904,2023-04-03 09:45:21
2023-03,2호선,0203,을지로3가,712575,705609,2023-04-03 09:45:21
2023-03,2호선,0204,을지로4가,413070,418749,2023-04-03 09:45:21
2023-03,2호선,0205,동대문역사문화공원(DDP),439779,496954,2023-04-03 09:45:21
2023-03,2호선,0206,신당,452027,466673,2023-04-03 09:45:21
2023-03,2호선,0207,상왕십리,439474,421740,2023-04-03 09:45:21
2023-03,2호선,0208,왕십리(성동구청),519711,442984,2023-04-03 09:45:21
2023-03,2호선,0209,한양대,409897,465856,2023-04-03 09:45:21
2023-03,2호선,0210,뚝섬,695749,735368,2023-04-03 09:45:21
2023-03,2호선,0211,성수,1165085,1286995,2023-04-03 09:45:21
2023-03,2호선,0212,건대입구,1184555,1242410,2023-04-03 09:45:21
2023-03,2호선,0213,구의(광진구청),730079,711145,2023-04-03 09:45:21
2023-03,2호선,0214,강변(동서울터미널),975197,917610,2023-04-03 09:45:21
2023-03,2호선,0215,잠실나루,448161,436982,2023-04-03 09:45:21
2023-03,2호선,0216,잠실(송파구청),2319115,2296822,2023-04-03 09:45:21
2023-03,2호선,0217,잠실새내,698415,692758,2023-04-03 09:45:21
2023-03,2호선,0218,종합운동장,265240,282219,2023-04-03 09:45:21
